Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,1.813641093,3.902018236,5.44027196,6.068410306,5.625997562,4.616674713,3.517889233,2.669576442,2.114385656,2.055026783,2.22593013,2.229056047,2.109354335,1.757352867,1.30203884,0.79954624,0.384052418,0.134267964,0.095654625,0.210708808,0.370125352,0.502430116,0.582349411,0.594397037,0.544892394,0.50761773,0.469944453,0.453575639,
Afghanistan,4.476896508,6.900156175,8.546120196,8.790888641,7.659777033,5.884256812,4.019468195,2.636538892,1.94731853,2.975052846,3.902805701,4.496719561,4.668361494,4.321539296,3.682731797,2.990478094,2.493842299,2.268277145,2.397020991,2.74657628,3.143125903,3.407586974,3.494589049,3.355581661,3.077083595,2.778317409,2.548346644,2.3847611,
Angola,3.378480754,3.324456291,3.280311952,3.246641936,3.226144493,3.21685908,3.21423426,3.217320072,3.228941421,3.277203555,3.301198182,3.329256674,3.37881111,3.453013829,3.537557154,3.619574559,3.68063537,3.710531322,3.703877683,3.671462401,3.634158626,3.597774308,3.551950467,3.497492744,3.438850684,3.37827278,3.322080998,3.276133875,
Albania,1.799085593,-0.602809679,-0.606434726,-0.610165793,-0.613880507,-0.617703658,-0.621511399,-0.625430097,-0.629334393,-0.637356834,-0.938470428,-0.299876697,-0.374149169,-0.417931378,-0.511790116,-0.630911245,-0.755718755,-0.767342959,-0.673894046,-0.496461963,-0.269017332,-0.16515104,-0.183211385,-0.207047,-0.291205787,-0.159880412,-0.091972294,-0.246732042,
Andorra,3.854362309,3.88967904,3.837471871,3.476100654,2.759621289,1.854202829,0.795573965,-0.051287233,-0.288007423,1.572165551,2.939992206,3.942573353,4.375449193,4.098923478,3.382416554,2.659984178,2.066338175,1.414647779,0.714097792,-0.016576679,-0.834745269,-1.588729602,-2.025792158,-1.95147048,-1.529058438,-0.919469738,-0.383673623,0.006493211,
United Arab Emirates,5.783701378,5.776060047,5.802967416,5.69236225,5.429216765,5.127171975,5.008337384,5.076852738,5.173914727,5.510421986,5.241614185,5.193472662,6.487170055,9.173909057,12.02016527,14.42464112,15.17708393,13.91024929,11.04463501,7.687054686,4.536347626,2.154163159,0.614129704,0.176677484,0.52741154,1.053281129,1.339385202,1.50389676,
Argentina,1.452983278,1.401439861,1.352181892,1.306059088,1.265318603,1.22923063,1.193611663,1.159485353,1.132262439,1.100583725,1.092079483,1.083551371,1.07199404,1.055389384,1.036281168,1.01544167,0.998858904,0.99259313,0.999544734,0.752213052,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,
Armenia,0.04797414,-0.934580005,-1.797409529,-2.34244852,-2.390476071,-2.040336799,-1.53871861,-1.115081278,-0.781896829,-0.631020799,-0.617751681,-0.549218141,-0.530280113,-0.571956874,-0.650321107,-0.773190355,-0.872160581,-0.856135016,-0.67381128,-0.373711867,-0.027147008,0.267013214,0.461966644,0.51012273,0.450500903,0.361431439,0.294612228,0.236306379,
American Samoa,3.116907008,2.786751478,2.456986479,2.227687349,2.085126215,2.025606994,1.955879508,1.845947584,1.705729376,1.337137112,1.157215338,0.996827279,0.715107952,0.29701746,-0.199592495,-0.766842612,-1.263296561,-1.507058742,-1.417146554,-1.071293125,-0.572257861,-0.165132053,0.082600112,0.139905318,0.037633397,-0.12729377,-0.217311352,-0.279065762,
Antigua and Barbuda,0.835104744,1.332876478,1.727228909,2.005472286,2.146253641,2.157965307,2.165119903,2.158291239,2.097670203,1.781187179,1.561104092,1.392885863,1.275438464,1.297971065,1.395564086,1.50944883,1.585830631,1.618469661,1.567333688,1.467063743,1.382008785,1.286878642,1.217000042,1.136486988,1.078837937,1.021843835,0.946557003,0.89718512,
Australia,1.479978016,1.274577578,1.213390775,0.978336681,1.058508842,1.208019812,1.313819299,1.11872569,1.042235716,1.192272323,1.348358342,1.220563785,1.233996663,1.159352162,1.319789554,1.475227945,0.624678435,2.00402174,2.06104513,1.555489589,1.389527316,1.745820001,1.72115144,1.491566489,1.439216653,1.561940498,1.684523108,1.574848844,
Austria,0.762001611,0.998418103,1.100552287,0.824627941,0.384869547,0.153106261,0.135019834,0.113316608,0.109728368,0.240466652,0.382799394,0.491980464,0.487133895,0.620413127,0.681267248,0.494797775,0.324146535,0.313041438,0.26195319,0.2403943,0.337080842,0.455937472,0.589387255,0.781541633,1.120992502,1.081396299,0.694621104,0.560750838,
Azerbaijan,0.44966151,1.552352725,1.515077094,1.519152695,1.351730097,1.151694447,1.009848043,0.964673774,0.949138147,0.821519964,0.774765939,0.746173583,0.757650956,0.87542728,1.022265592,1.098586574,1.133855466,2.099854033,2.076148264,1.189787708,1.303000855,1.328763827,1.293447027,1.248208997,1.191209858,1.11785721,0.981261805,0.892098895,
Burundi,2.454760909,2.28963727,2.144681936,1.959166493,1.72550793,1.482038331,1.21304826,1.018195844,1.030779152,1.767356522,2.273335218,2.699674402,3.012598038,3.170145462,3.217165882,3.246016505,3.288776865,3.301310362,3.287269847,3.256066998,3.207759114,3.159741833,3.13340508,3.136852423,3.156909217,3.177016087,3.181367524,3.166773442,
Belgium,0.298235706,0.371593166,0.405713496,0.390638518,0.308197074,0.209436838,0.195393176,0.241991885,0.213527651,0.242517956,0.343951158,0.448268895,0.418641508,0.432788248,0.550055708,0.659558215,0.734330831,0.789976845,0.804599573,0.913639392,1.301002902,0.620163579,0.471340144,0.443929288,0.579446242,0.506300002,0.385228018,0.41154188,
Benin,3.235058983,3.3771591,3.479002651,3.500773846,3.426061164,3.293613638,3.145323911,3.028375321,2.958613225,2.983994776,3.023780214,3.043082958,3.039674832,3.005342106,2.952383516,2.897544923,2.854085561,2.823555548,2.809301752,2.806086484,2.803717973,2.797648941,2.790718131,2.782181506,2.771714168,2.761409493,2.750055592,2.734862013,
Burkina Faso,2.659151577,2.676923975,2.692988242,2.709646605,2.727321991,2.74591353,2.764894998,2.783685302,2.802940418,2.841885125,2.858868603,2.875992432,2.898431555,2.927561373,2.959187776,2.989062688,3.011815794,3.024954857,3.02644987,3.019251293,3.008981855,2.997392478,2.981606475,2.961900814,2.939462977,2.915319071,2.890850806,2.867078367,
Bangladesh,2.429599019,2.325303226,2.233022266,2.16825965,2.140080738,2.134495915,2.13048473,2.111534456,2.077340311,1.95238739,1.886287145,1.820070221,1.731266118,1.615198017,1.484744774,1.347130256,1.226617775,1.145653022,1.116805726,1.124803493,1.144262127,1.15494813,1.156713453,1.142594657,1.117283565,1.091300482,1.070244022,1.050044649,
Bulgaria,-1.803750479,-0.99042598,-1.073853191,-0.797665852,-0.339586079,-0.4453985,-0.51572988,-0.608797355,-0.667302701,-0.493896417,-1.990632204,-2.17069878,-0.792113638,-0.754796951,-0.752977445,-0.759505916,-0.735282284,-0.701922745,-0.644281363,-0.658275447,-0.641228921,-0.579220596,-0.559647217,-0.568389264,-0.638069468,-0.701382098,-0.730443175,-0.733767859,
Bahrain,3.038867721,2.750322258,2.580585977,2.477998889,2.463393346,2.535706425,2.620858138,2.771997796,3.106077696,4.31530764,4.836512065,5.25020912,5.756701712,6.360159526,6.904396412,7.500231305,7.776022595,7.324342452,6.127452758,4.599778006,2.960981473,1.690591501,1.153830127,1.587749264,2.642471156,3.856582461,4.677986951,4.921161372,
Bahamas  The,1.767915704,1.850289915,1.90542672,1.876807562,1.746933796,1.560379122,1.345024017,1.183205481,1.120860244,1.347398334,1.520667125,1.652399307,1.761996908,1.824351295,1.853248287,1.882682626,1.901849904,1.847733423,1.70871838,1.515331048,1.297394475,1.108201634,0.980915204,0.93928457,0.959409324,0.990519136,1.008311908,1.010953344,
Bosnia and Herzegovina,-0.989859326,-2.130879873,-3.153651532,-3.723423115,-3.553831484,-2.768136976,-1.70216035,-0.756087034,-0.046396402,0.208738983,0.115523663,0.103128474,0.07408038,0.053704531,0.030201109,0.002469872,-0.070083064,-0.226551525,-0.489520028,-0.818827889,-1.20265119,-1.547013043,-1.745167149,-1.722562344,-1.526276235,-1.264581174,-1.031207183,-0.826854592,
Belarus,0.186649693,0.049060493,0.215580681,0.224883986,-0.117267677,-0.323196991,-0.334086977,-0.424126493,-0.475578029,-0.471131335,-0.512966688,-0.636565666,-0.699809191,-0.682169472,-0.68300556,-0.612296198,-0.458847536,-0.345415054,-0.22296073,-0.170360662,-0.183624023,-0.091637482,0.015868579,0.089902558,0.159300802,0.12551111,-0.034421419,-0.135674667,
Belize,2.20104244,1.888722037,1.658350843,1.682924606,2.032616773,2.585775045,3.186465435,3.637901042,3.835591807,3.42494863,3.084774571,2.827563862,2.650384639,2.593522892,2.604447732,2.618344801,2.60739692,2.574385215,2.520576643,2.451470158,2.381907641,2.323531697,2.256884073,2.188961079,2.118799855,2.047695884,1.980528851,1.92457577,
Bermuda,0.824255196,-0.514108485,-0.721776995,0.537588531,0.695976914,0.718138908,0.641047099,0.612017496,0.737226639,0.894182916,1.085181052,0.652758223,0.656472533,0.655349388,0.649513649,0.575178477,0.565689754,0.593330046,0.55612581,-0.780059723,-0.859898041,0.362431076,0.313281274,0.212304426,0.153517862,-1.048452613,-1.054914414,0.147164731,
Bolivia,2.115896027,2.113193123,2.109350945,2.099461032,2.083251503,2.061755709,2.037897103,2.013095505,1.98710323,1.93343126,1.905767118,1.877080341,1.847322665,1.816097236,1.784254998,1.7516249,1.719932541,1.691076655,1.666110583,1.643602456,1.622458837,1.600004605,1.574598408,1.544967683,1.512924033,1.480132784,1.44923493,1.421899486,
Brazil,1.811518179,1.759418174,1.707335299,1.664858508,1.633793357,1.609715254,1.588837626,1.56372474,1.528963703,1.424167434,1.366957076,1.312744186,1.257382738,1.201294128,1.145880998,1.090196854,1.037862037,0.994311624,0.961948263,0.937956738,0.915962656,0.893531058,0.873603191,0.855792023,0.838848283,0.823748232,0.807147162,0.783847579,
Barbados,0.37589338,0.370667606,0.373863554,0.375123836,0.385425437,0.400115068,0.410504062,0.425233622,0.427517241,0.392645061,0.362122764,0.338874712,0.330075479,0.347517603,0.376717927,0.416757555,0.439788762,0.446079294,0.41279802,0.364679446,0.302945811,0.251638162,0.20986071,0.185900767,0.175042007,0.165289294,0.152789486,0.142439723,
Brunei Darussalam,2.847428342,2.853520999,2.844839711,2.804135687,2.722116477,2.61195138,2.495576018,2.379689964,2.277384822,2.1096517,2.040774985,1.965072783,1.860140053,1.723004885,1.568184375,1.400393036,1.261912434,1.181371824,1.175132443,1.227117263,1.288981384,1.337513016,1.352256699,1.313717171,1.246081245,1.172400865,1.10699921,1.051993743,
Bhutan,1.638239725,0.718582153,-0.021699522,-0.359850151,-0.131330145,0.510635258,1.272221493,1.874230428,2.270173455,2.248358465,2.112644398,2.029819014,1.900758029,1.733113342,1.541558106,1.32773939,1.129268455,1.008172467,0.99412939,1.052929968,1.130704583,1.187928924,1.22609147,1.233911551,1.219146338,1.206226624,1.195337374,1.176843395,
Botswana,3.340333628,3.028537543,2.76848286,2.57417937,2.46725648,2.419145312,2.391314201,2.344487226,2.271995769,2.032896436,1.889380292,1.773421002,1.730526111,1.778885026,1.882508206,2.026487056,2.131424745,2.119781897,1.957036327,1.705719395,1.413987357,1.191100637,1.120660803,1.256439448,1.525307942,1.832852792,2.070326167,2.197675758,
Central African Republic,2.197309532,2.525092196,2.765867515,2.894704298,2.875578887,2.757190552,2.620834571,2.513403742,2.418780432,2.289845843,2.216501186,2.129491567,2.057857877,2.007297035,1.963165759,1.954024747,1.922623931,1.779120362,1.49251562,1.126577396,0.723831391,0.401556668,0.259489943,0.364290952,0.647403919,0.985894486,1.277504136,1.519051537,
Canada,1.507660673,1.242761231,1.183675541,1.098930879,1.095258107,1.034769484,1.045311783,0.993788591,0.829909353,0.931281553,1.086350966,1.087447927,0.901372739,0.933020777,0.944466927,1.010334503,0.971135141,1.082907116,1.141758099,1.111864075,0.978697787,1.085817263,1.056591259,1.005337579,0.746339478,1.132348655,1.185925675,1.409246617,
Switzerland,1.026873072,1.249826024,1.102521072,0.910715566,0.797158411,0.668242326,0.441636407,0.24089121,0.297135766,0.561954617,0.632771238,0.756469146,0.741919603,0.68742596,0.64060154,0.627558473,0.893690978,1.270618074,1.249484631,1.041558058,1.111878943,1.061819329,1.149879758,1.220103973,1.138337152,1.092031174,0.933155889,0.762633818,
Channel Islands,0.78360687,0.564264376,0.380283589,0.287602028,0.314079858,0.433740164,0.591345589,0.716586661,0.770892327,0.600005854,0.439605467,0.334122637,0.315019749,0.430874649,0.636258157,0.873035484,1.058376043,1.155383526,1.109317789,0.978895056,0.78820108,0.655001196,0.604134796,0.649269563,0.780009114,0.9256539,1.03818709,1.081493246,
Chile,1.639514769,1.6484197,1.650306531,1.627507353,1.575222485,1.502984484,1.425751282,1.353958013,1.286896556,1.177211428,1.126185835,1.078812927,1.048038262,1.037642801,1.042009582,1.055926534,1.068537508,1.071437972,1.059280301,1.03892916,0.997439115,0.963057457,0.978852117,1.061145126,1.177757471,1.325201606,1.425185044,1.391010541,
China,1.467303211,1.364434008,1.225536228,1.149619431,1.130260632,1.086509151,1.048141514,1.023450024,0.959550406,0.787956593,0.726380638,0.669999568,0.622860936,0.593932815,0.58812499,0.558374367,0.522271866,0.512386932,0.497381401,0.482959689,0.479150454,0.487231118,0.493709634,0.506311592,0.508136747,0.541478512,0.559121331,0.455899679,
Cote d'Ivoire,3.606675304,3.603345191,3.575491686,3.521456277,3.434919056,3.324635955,3.224715856,3.12509846,2.98687471,2.598674067,2.392101929,2.221114226,2.11353752,2.085444797,2.114434812,2.158036592,2.195517817,2.240257565,2.287160067,2.334565367,2.385511855,2.435928938,2.476674322,2.504548687,2.522094681,2.536099761,2.54780739,2.552358861,
Cameroon,3.053669227,2.992312894,2.935478608,2.875114518,2.81216431,2.750755861,2.690145732,2.639267039,2.610002071,2.621099328,2.639640035,2.655704619,2.673762976,2.692203013,2.709802767,2.727108707,2.742005436,2.750797225,2.752312198,2.747773491,2.740435666,2.731263968,2.718244285,2.701555717,2.68179173,2.660494609,2.637694363,2.612290751,
Congo  Dem. Rep.,3.370801299,3.676579976,3.893522906,3.892612009,3.635565801,3.234479176,2.800990199,2.471556494,2.306867985,2.550436336,2.769272496,2.936361326,3.068268818,3.145497838,3.184222392,3.21879547,3.261382602,3.293973839,3.31689666,3.331131654,3.337677422,3.337564776,3.331362952,3.319676665,3.30283221,3.282914628,3.258508351,3.2266989,
Congo  Rep.,2.734463971,2.744153098,2.7543867,2.76942147,2.791743601,2.816428164,2.849930936,2.88251703,2.899947445,2.886358372,2.853372225,2.832587302,2.874414339,2.994011755,3.149094483,3.321895971,3.437512885,3.432735093,3.283536842,3.049010156,2.794481941,2.590901936,2.465109065,2.440638958,2.483608177,2.539585634,2.570629914,2.5817013,
Colombia,1.967956348,1.961633512,1.94850158,1.924009924,1.884887437,1.835615888,1.782274066,1.731089702,1.683637926,1.60375178,1.567264159,1.526919519,1.477721636,1.41717845,1.349744709,1.288737445,1.234496459,1.1761571,1.112485691,1.050652174,0.969133686,0.902010125,0.90829254,1.009872269,1.167245179,1.360060673,1.503387796,1.517270891,
Comoros,2.949330295,2.939409627,2.923771588,2.896370786,2.853133191,2.797965538,2.745548333,2.690707259,2.640770438,2.522340022,2.464237891,2.415507265,2.382713421,2.374990806,2.382366955,2.39064349,2.396717366,2.403628365,2.408719056,2.412541877,2.417574078,2.419233782,2.406870493,2.383357478,2.347041066,2.310060155,2.274118744,2.239170611,
Cabo Verde,2.023894084,2.420533855,2.714461942,2.853021815,2.789287311,2.590184545,2.366137218,2.182153925,2.021438293,1.82320284,1.741223785,1.648456512,1.563286066,1.475295001,1.395120105,1.316900995,1.247593573,1.209762197,1.204959629,1.221877199,1.251037486,1.270619062,1.280864881,1.266209611,1.241420644,1.212831744,1.188624222,1.159766769,
Costa Rica,2.611846289,2.615090559,2.602709407,2.576515688,2.533712697,2.475724528,2.419434204,2.355797611,2.258233718,1.960917604,1.79339476,1.643577458,1.52763208,1.456706771,1.418175152,1.388287781,1.353523048,1.319338699,1.282650394,1.245064785,1.209682364,1.178288353,1.147549943,1.117473924,1.086952795,1.057570381,1.02767609,0.994782258,
Cuba,0.881624408,0.719825356,0.587065753,0.491683186,0.454564564,0.45833058,0.467675985,0.460021264,0.444517326,0.376028645,0.343070038,0.31285576,0.263339744,0.188455802,0.099653761,-0.00296588,-0.089959437,-0.125853285,-0.091365268,-0.007812033,0.096498608,0.18165923,0.227322223,0.214098396,0.157999772,0.091156671,0.03660521,-0.009886496,
Curacao,-1.051535839,-0.688056323,-0.340600021,0.268553409,0.229122134,0.351314684,0.800841488,0.443290344,-1.70475051,-4.075386132,-3.661779858,0.12236112,2.062102467,1.725029528,2.550073807,2.568114257,1.974862198,1.258225307,0.651152062,1.265514155,1.420897663,0.829929595,1.133678907,1.347641396,1.319593903,1.060316441,0.319536038,-0.20373479,
Cayman Islands,5.160108012,4.752514186,4.551260388,4.535597693,4.851328044,5.272439938,5.736047015,5.957244571,5.836387989,4.553329355,3.785326342,3.172095809,2.785477371,2.687025646,2.797543573,2.958186124,2.989933458,2.932849962,2.722827106,2.410960217,2.105708532,1.848797909,1.638526018,1.516836501,1.429388302,1.359711357,1.290996168,1.241823478,
Cyprus,2.051648665,2.130632904,2.208413745,2.239871528,2.218158216,2.159383825,2.087065272,2.013767371,1.945955936,1.844985508,1.784697862,1.722906073,1.684766829,1.68120165,1.693210951,1.721561603,1.726368247,1.664159945,1.515871507,1.314447193,1.092417604,0.903859855,0.774057448,0.733317428,0.752185523,0.789478236,0.807965016,0.809225398,
Czech Republic,-0.267830773,-0.240064842,0.102241165,0.103947042,0.036121766,-0.061314063,-0.116381299,-0.107762749,-0.094744752,-0.280414108,-0.375719704,-0.192901618,-0.028620591,0.030434848,0.13832598,0.270795629,0.583542205,0.829412603,0.569729451,0.291361674,0.206747667,0.139925656,0.033169946,0.105277582,0.196588748,0.192048416,0.265642664,0.294597801,
Germany,0.861969449,0.728605547,0.760346947,0.657391218,0.346856649,0.293904444,0.289474899,0.146313282,0.015143651,0.1354316,0.168225361,0.168128319,0.055363304,-0.021709728,-0.056778262,-0.112797498,-0.133718573,-0.190142845,-0.25338341,-0.153198447,-1.853714629,0.187727801,0.272900215,0.416877359,0.865702644,0.807218539,0.37372456,0.32722815,
Djibouti,4.598379808,2.747487063,1.343831245,0.55790389,0.62392364,1.280715871,2.082581181,2.6385242,2.922689218,2.484539383,2.127615157,1.882137268,1.685841505,1.562421579,1.49868677,1.433524124,1.3610091,1.345061526,1.394637918,1.483821493,1.591180954,1.679899653,1.730858448,1.728785489,1.6878089,1.640637851,1.599962382,1.557873607,
Dominica,-0.430772513,-0.063923635,0.241275185,0.406012936,0.298856954,0.07738795,-0.228114494,-0.476208198,-0.588136711,-0.265261653,0.015792005,0.252333501,0.375883876,0.401475461,0.293677634,0.182581239,0.108823935,0.04519072,0.033879643,0.038100883,0.053598884,0.069071972,0.071840601,0.097114032,0.137768178,0.174047346,0.21153652,0.233431052,
Denmark,0.16245632,0.259518212,0.330671402,0.333166396,0.337707376,0.520962181,0.565926342,0.415564969,0.363162524,0.334233619,0.358315679,0.319487125,0.272010444,0.258432282,0.275481733,0.328645159,0.443466054,0.58754759,0.535079062,0.444197155,0.411737855,0.376272243,0.416901361,0.507053283,0.70642385,0.780392644,0.643350904,0.561579124,
Dominican Republic,1.919276723,1.901139209,1.879411402,1.847231409,1.802313633,1.748614536,1.693115709,1.641772918,1.595473223,1.522967473,1.491305689,1.459008715,1.426367483,1.392770501,1.359195692,1.325957163,1.295178505,1.268457779,1.246805455,1.228584074,1.21066679,1.192277887,1.174368643,1.157205552,1.13957128,1.122509257,1.103628391,1.078841148,
Algeria,2.566456571,2.460315893,2.350327326,2.221629372,2.070857751,1.909821478,1.753175796,1.615283298,1.500885768,1.358407806,1.30984253,1.275065543,1.275914635,1.317846191,1.389900523,1.471122982,1.551382583,1.636192663,1.722093224,1.805018696,1.883313834,1.951415209,2.002727839,2.033592452,2.045387243,2.051354584,2.044952503,2.00737383,
Ecuador,2.364411356,2.333451074,2.299960305,2.263604202,2.224186656,2.181622631,2.14159625,2.099269021,2.045603524,1.902742082,1.824913249,1.756103468,1.706463013,1.681486218,1.673564212,1.675026183,1.672866586,1.659163647,1.628720225,1.589348217,1.53872479,1.498947998,1.496886223,1.543740767,1.617888472,1.70688086,1.768538648,1.765611201,
Egypt  Arab Rep.,2.426645688,2.272174341,2.140232291,2.04793304,2.008964138,2.006437925,2.013151446,2.008942707,1.995601608,1.930382623,1.901136361,1.881450018,1.858612723,1.831333842,1.805707506,1.771855438,1.75170475,1.778686233,1.864470038,1.984783112,2.113785288,2.214742178,2.267940686,2.25924945,2.207038658,2.14522549,2.09083472,2.033262176,
Eritrea,1.225550408,0.340551987,-0.387360745,-0.843824551,-0.906254632,-0.642512632,-0.352581758,-0.058520241,0.511313904,2.428957109,3.527409475,4.38047041,4.720052368,4.467384542,3.853599765,3.187325236,2.648825363,2.18657189,1.84846867,1.606144198,1.363875294,,,,,,,,
Spain,0.101828843,0.254527425,0.489757905,0.518543521,0.476100555,0.44136575,0.416515798,0.419119517,0.413847481,0.447137015,0.694068084,1.412595405,1.808454468,1.725466303,1.689349047,1.690352556,1.851081308,1.595330499,0.885735981,0.460408305,0.355338396,0.064925963,-0.32766904,-0.298951059,-0.077588862,0.083369566,0.235648507,0.279719893,
Estonia,0.066490191,-0.502159185,-1.824181555,-2.574319978,-2.138588635,-1.785399536,-1.475364638,-1.14091924,-0.960559005,0.483707162,-0.636963124,-0.633433796,-0.627622448,-0.59782051,-0.572255525,-0.58965556,-0.456188535,-0.26813372,-0.192768077,-0.228057969,-0.303582824,-0.357944411,-0.355891803,-0.262256175,0.06555253,0.029112226,0.121070631,0.26532574,
Ethiopia,3.431864372,3.532966941,3.590511792,3.575621886,3.476551667,3.327275116,3.167001902,3.03401469,2.938856113,2.882672549,2.879434156,2.867363896,2.850948298,2.826388183,2.798329264,2.768139861,2.745954395,2.741022523,2.756851322,2.783770941,2.812610345,2.829617214,2.827018361,2.799921862,2.756127788,2.708106304,2.663467978,2.620013482,
Finland,0.443382074,0.546172018,0.561909851,0.483854089,0.431048903,0.381655333,0.328037914,0.29737733,0.265472962,0.207606515,0.227687342,0.24238105,0.23845724,0.290350362,0.342248594,0.383777136,0.425429832,0.465549285,0.478246393,0.457494535,0.463558707,0.475809487,0.460723773,0.413560208,0.329383886,0.287421402,0.234670532,0.178410432,
Fiji,0.547632852,0.932810215,1.22552839,1.399752885,1.400285413,1.273967059,1.148997999,1.058900709,0.93177052,0.581584998,0.35927718,0.163517679,0.100408693,0.218368493,0.456735434,0.759761008,0.999972276,1.090789507,0.974228982,0.721469407,0.421409494,0.187443865,0.062287766,0.097571629,0.250593764,0.433308394,0.578334254,0.684181932,
France,0.508686594,0.554158664,0.497240931,0.433292244,0.372231503,0.361249895,0.354082271,0.353750159,0.368597839,0.684929254,0.727786405,0.727231515,0.708779199,0.736313541,0.753800832,0.697207001,0.618697376,0.558854359,0.514489504,0.494035951,0.483658695,0.48400512,0.514784474,0.479785542,0.417225967,0.399244807,0.008040387,0.182439829,
Faroe Islands,0.228716745,-0.326292215,-0.811860541,-1.017158385,-0.890129843,-0.505023974,-0.021920211,0.396014126,0.652942728,0.641832816,0.559042125,0.500903095,0.420430556,0.353565483,0.255974626,0.146575397,0.069025385,-0.01045533,-0.025097252,0.012549413,0.018821168,0.041812139,0.102365915,0.14188543,0.189561669,0.253575128,0.32744786,0.342876364,
Micronesia  Fed. Sts.,2.357772149,2.531521195,2.617068909,2.460865326,2.014881567,1.403850569,0.73384624,0.146678317,-0.251052336,-0.352258675,-0.213445263,-0.133518225,-0.120599647,-0.258516671,-0.466267049,-0.716787939,-0.883641333,-0.866405724,-0.550074504,-0.062170329,0.522386716,1.015608183,1.349625109,1.424765867,1.339571942,1.204888841,1.122380666,1.054008214,
Gabon,2.752363979,2.731733369,2.709073344,2.676756494,2.633268158,2.585428956,2.548842404,2.518261818,2.485462581,2.414870179,2.384559664,2.380961999,2.426096691,2.531562987,2.678687342,2.808209914,2.92318367,3.073677791,3.264323666,3.458586132,3.657047821,3.788513401,3.779180691,3.606514936,3.335098786,3.043395155,2.796855564,2.602954061,
United Kingdom,0.298930554,0.309247932,0.270431182,0.239745439,0.254586487,0.264547417,0.254626384,0.257553323,0.291406085,0.357300887,0.38497597,0.42333708,0.465641114,0.568943113,0.686611306,0.735048678,0.778666112,0.787032622,0.75639086,0.783888647,0.781677289,0.695315843,0.669533807,0.753349499,0.794967909,0.714030265,0.703806068,0.649023745,
